x,y,z,illuminance
0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,3.494264990308750640e+01
1.600000000000000089e+00,0.000000000000000000e+00,8.000000000000000444e-01,6.627310830332504565e+01
3.200000000000000178e+00,0.000000000000000000e+00,8.000000000000000444e-01,5.986358195775569868e+01
4.800000000000000711e+00,0.000000000000000000e+00,8.000000000000000444e-01,4.348443932948919155e+01
6.400000000000000355e+00,0.000000000000000000e+00,8.000000000000000444e-01,3.556010810942031242e+01
8.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,2.190735351048493129e+01
0.000000000000000000e+00,1.666666666666666741e+00,8.000000000000000444e-01,6.475042806369698667e+01
1.600000000000000089e+00,1.666666666666666741e+00,8.000000000000000444e-01,1.988181076946067378e+02
3.200000000000000178e+00,1.666666666666666741e+00,8.000000000000000444e-01,1.416429706198688336e+02
4.800000000000000711e+00,1.666666666666666741e+00,8.000000000000000444e-01,1.054324553342789557e+02
6.400000000000000355e+00,1.666666666666666741e+00,8.000000000000000444e-01,1.137019530522567266e+02
8.000000000000000000e+00,1.666666666666666741e+00,8.000000000000000444e-01,4.884746724549695784e+01
0.000000000000000000e+00,3.333333333333333481e+00,8.000000000000000444e-01,4.884746724549695074e+01
1.600000000000000089e+00,3.333333333333333481e+00,8.000000000000000444e-01,1.137019530522567266e+02
3.200000000000000178e+00,3.333333333333333481e+00,8.000000000000000444e-01,1.054324553342789557e+02
4.800000000000000711e+00,3.333333333333333481e+00,8.000000000000000444e-01,1.416429706198688905e+02
6.400000000000000355e+00,3.333333333333333481e+00,8.000000000000000444e-01,1.988181076946067378e+02
8.000000000000000000e+00,3.333333333333333481e+00,8.000000000000000444e-01,6.475042806369698667e+01
0.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000444e-01,2.190735351048493129e+01
1.600000000000000089e+00,5.000000000000000000e+00,8.000000000000000444e-01,3.556010810942031242e+01
3.200000000000000178e+00,5.000000000000000000e+00,8.000000000000000444e-01,4.348443932948919155e+01
4.800000000000000711e+00,5.000000000000000000e+00,8.000000000000000444e-01,5.986358195775570579e+01
6.400000000000000355e+00,5.000000000000000000e+00,8.000000000000000444e-01,6.627310830332504565e+01
8.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000444e-01,3.494264990308750640e+01
