x,y,z,illuminance
0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,1.794663955803521915e+01
1.399999999999999911e+00,0.000000000000000000e+00,8.000000000000000444e-01,2.651662482490577588e+01
2.799999999999999822e+00,0.000000000000000000e+00,8.000000000000000444e-01,2.563629750890196490e+01
4.199999999999999289e+00,0.000000000000000000e+00,8.000000000000000444e-01,1.660514042914082111e+01
5.599999999999999645e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00
7.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,4.987381786715100240e+00
0.000000000000000000e+00,1.500000000000000000e+00,8.000000000000000444e-01,4.094473001869114626e+01
1.399999999999999911e+00,1.500000000000000000e+00,8.000000000000000444e-01,8.555548880285967073e+01
2.799999999999999822e+00,1.500000000000000000e+00,8.000000000000000444e-01,7.968868530115011595e+01
4.199999999999999289e+00,1.500000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00
5.599999999999999645e+00,1.500000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00
7.000000000000000000e+00,1.500000000000000000e+00,8.000000000000000444e-01,6.791012065486100369e+00
0.000000000000000000e+00,3.000000000000000000e+00,8.000000000000000444e-01,6.187184335382291778e+01
1.399999999999999911e+00,3.000000000000000000e+00,8.000000000000000444e-01,1.814116694053378467e+02
2.799999999999999822e+00,3.000000000000000000e+00,8.000000000000000444e-01,1.607034764058837197e+02
4.199999999999999289e+00,3.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00
5.599999999999999645e+00,3.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00
7.000000000000000000e+00,3.000000000000000000e+00,8.000000000000000444e-01,7.644182575393968726e+00
0.000000000000000000e+00,4.500000000000000000e+00,8.000000000000000444e-01,4.094473001869114626e+01
1.399999999999999911e+00,4.500000000000000000e+00,8.000000000000000444e-01,8.555548880285967073e+01
2.799999999999999822e+00,4.500000000000000000e+00,8.000000000000000444e-01,7.968868530115011595e+01
4.199999999999999289e+00,4.500000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00
5.599999999999999645e+00,4.500000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00
7.000000000000000000e+00,4.500000000000000000e+00,8.000000000000000444e-01,6.791012065486100369e+00
0.000000000000000000e+00,6.000000000000000000e+00,8.000000000000000444e-01,1.794663955803521915e+01
1.399999999999999911e+00,6.000000000000000000e+00,8.000000000000000444e-01,2.651662482490577588e+01
2.799999999999999822e+00,6.000000000000000000e+00,8.000000000000000444e-01,2.563629750890196490e+01
4.199999999999999289e+00,6.000000000000000000e+00,8.000000000000000444e-01,1.660514042914082111e+01
5.599999999999999645e+00,6.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00
7.000000000000000000e+00,6.000000000000000000e+00,8.000000000000000444e-01,4.987381786715100240e+00
