x,y,z,illuminance
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.966441262252932631e+01
0.000000000000000000e+00,6.666666666666666297e-01,0.000000000000000000e+00,2.681432332351052494e+01
0.000000000000000000e+00,1.333333333333333259e+00,0.000000000000000000e+00,3.553380185996779517e+01
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.432804131170611583e+01
0.000000000000000000e+00,2.666666666666666519e+00,0.000000000000000000e+00,5.017792425303321835e+01
0.000000000000000000e+00,3.333333333333333037e+00,0.000000000000000000e+00,5.017792425303321835e+01
0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,4.432804131170611583e+01
0.000000000000000000e+00,4.666666666666666075e+00,0.000000000000000000e+00,3.553380185996780938e+01
0.000000000000000000e+00,5.333333333333333037e+00,0.000000000000000000e+00,2.681432332351052494e+01
0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.966441262252932631e+01
7.777777777777777901e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.430789092314714495e+01
7.777777777777777901e-01,6.666666666666666297e-01,0.000000000000000000e+00,3.488325745200813088e+01
7.777777777777777901e-01,1.333333333333333259e+00,0.000000000000000000e+00,4.902953469607836468e+01
7.777777777777777901e-01,2.000000000000000000e+00,0.000000000000000000e+00,6.483710976988510311e+01
7.777777777777777901e-01,2.666666666666666519e+00,0.000000000000000000e+00,7.637941075526414636e+01
7.777777777777777901e-01,3.333333333333333037e+00,0.000000000000000000e+00,7.637941075526420320e+01
7.777777777777777901e-01,4.000000000000000000e+00,0.000000000000000000e+00,6.483710976988510311e+01
7.777777777777777901e-01,4.666666666666666075e+00,0.000000000000000000e+00,4.902953469607838599e+01
7.777777777777777901e-01,5.333333333333333037e+00,0.000000000000000000e+00,3.488325745200815220e+01
7.777777777777777901e-01,6.000000000000000000e+00,0.000000000000000000e+00,2.430789092314714495e+01
1.555555555555555580e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.746623113446328901e+01
1.555555555555555580e+00,6.666666666666666297e-01,0.000000000000000000e+00,4.077306851696815215e+01
1.555555555555555580e+00,1.333333333333333259e+00,0.000000000000000000e+00,5.978208693367711390e+01
1.555555555555555580e+00,2.000000000000000000e+00,0.000000000000000000e+00,8.297485664529772009e+01
1.555555555555555580e+00,2.666666666666666519e+00,0.000000000000000000e+00,1.023320419576611187e+02
1.555555555555555580e+00,3.333333333333333037e+00,0.000000000000000000e+00,1.023320419576611187e+02
1.555555555555555580e+00,4.000000000000000000e+00,0.000000000000000000e+00,8.297485664529772009e+01
1.555555555555555580e+00,4.666666666666666075e+00,0.000000000000000000e+00,5.978208693367714943e+01
1.555555555555555580e+00,5.333333333333333037e+00,0.000000000000000000e+00,4.077306851696815215e+01
1.555555555555555580e+00,6.000000000000000000e+00,0.000000000000000000e+00,2.746623113446328901e+01
2.333333333333333481e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.770057979435086892e+01
2.333333333333333481e+00,6.666666666666666297e-01,0.000000000000000000e+00,4.122360263935406266e+01
2.333333333333333481e+00,1.333333333333333259e+00,0.000000000000000000e+00,6.063893154364687632e+01
2.333333333333333481e+00,2.000000000000000000e+00,0.000000000000000000e+00,8.451280543441858129e+01
2.333333333333333481e+00,2.666666666666666519e+00,0.000000000000000000e+00,1.048873796720710203e+02
2.333333333333333481e+00,3.333333333333333037e+00,0.000000000000000000e+00,1.048873796720710203e+02
2.333333333333333481e+00,4.000000000000000000e+00,0.000000000000000000e+00,8.451280543441858129e+01
2.333333333333333481e+00,4.666666666666666075e+00,0.000000000000000000e+00,6.063893154364689764e+01
2.333333333333333481e+00,5.333333333333333037e+00,0.000000000000000000e+00,4.122360263935406977e+01
2.333333333333333481e+00,6.000000000000000000e+00,0.000000000000000000e+00,2.770057979435086892e+01
3.111111111111111160e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.489023582992381023e+01
3.111111111111111160e+00,6.666666666666666297e-01,0.000000000000000000e+00,3.594415424013543969e+01
3.111111111111111160e+00,1.333333333333333259e+00,0.000000000000000000e+00,5.090716034558342784e+01
3.111111111111111160e+00,2.000000000000000000e+00,0.000000000000000000e+00,6.787202755657689579e+01
3.111111111111111160e+00,2.666666666666666519e+00,0.000000000000000000e+00,8.045835924445177056e+01
3.111111111111111160e+00,3.333333333333333037e+00,0.000000000000000000e+00,8.045835924445177056e+01
3.111111111111111160e+00,4.000000000000000000e+00,0.000000000000000000e+00,6.787202755657689579e+01
3.111111111111111160e+00,4.666666666666666075e+00,0.000000000000000000e+00,5.090716034558342784e+01
3.111111111111111160e+00,5.333333333333333037e+00,0.000000000000000000e+00,3.594415424013546811e+01
3.111111111111111160e+00,6.000000000000000000e+00,0.000000000000000000e+00,2.489023582992381023e+01
3.888888888888888840e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.035569498744841610e+01
3.888888888888888840e+00,6.666666666666666297e-01,0.000000000000000000e+00,2.797246034727930208e+01
3.888888888888888840e+00,1.333333333333333259e+00,0.000000000000000000e+00,3.738854967292549247e+01
3.888888888888888840e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.702122452676120190e+01
3.888888888888888840e+00,2.666666666666666519e+00,0.000000000000000000e+00,5.350432208341209162e+01
3.888888888888888840e+00,3.333333333333333037e+00,0.000000000000000000e+00,5.350432208341209162e+01
3.888888888888888840e+00,4.000000000000000000e+00,0.000000000000000000e+00,4.702122452676120190e+01
3.888888888888888840e+00,4.666666666666666075e+00,0.000000000000000000e+00,3.738854967292549958e+01
3.888888888888888840e+00,5.333333333333333037e+00,0.000000000000000000e+00,2.797246034727930208e+01
3.888888888888888840e+00,6.000000000000000000e+00,0.000000000000000000e+00,2.035569498744841610e+01
4.666666666666666963e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.564881155665078971e+01
4.666666666666666963e+00,6.666666666666666297e-01,0.000000000000000000e+00,2.037603042782987828e+01
4.666666666666666963e+00,1.333333333333333259e+00,0.000000000000000000e+00,2.570315175746353376e+01
4.666666666666666963e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.067078542219195114e+01
4.666666666666666963e+00,2.666666666666666519e+00,0.000000000000000000e+00,3.377935336687449563e+01
4.666666666666666963e+00,3.333333333333333037e+00,0.000000000000000000e+00,3.377935336687449563e+01
4.666666666666666963e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.067078542219195114e+01
4.666666666666666963e+00,4.666666666666666075e+00,0.000000000000000000e+00,2.570315175746353376e+01
4.666666666666666963e+00,5.333333333333333037e+00,0.000000000000000000e+00,2.037603042782987828e+01
4.666666666666666963e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.564881155665078971e+01
5.444444444444444642e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.165317667296168480e+01
5.444444444444444642e+00,6.666666666666666297e-01,0.000000000000000000e+00,1.444997670462441341e+01
5.444444444444444642e+00,1.333333333333333259e+00,0.000000000000000000e+00,1.735876252953050880e+01
5.444444444444444642e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.987746655893779746e+01
5.444444444444444642e+00,2.666666666666666519e+00,0.000000000000000000e+00,2.137082602669755360e+01
5.444444444444444642e+00,3.333333333333333037e+00,0.000000000000000000e+00,2.137082602669755360e+01
5.444444444444444642e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.987746655893779746e+01
5.444444444444444642e+00,4.666666666666666075e+00,0.000000000000000000e+00,1.735876252953051235e+01
5.444444444444444642e+00,5.333333333333333037e+00,0.000000000000000000e+00,1.444997670462441341e+01
5.444444444444444642e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.165317667296168480e+01
6.222222222222222321e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.590032302655437491e+00
6.222222222222222321e+00,6.666666666666666297e-01,0.000000000000000000e+00,1.022841864500466968e+01
6.222222222222222321e+00,1.333333333333333259e+00,0.000000000000000000e+00,1.182596806876058793e+01
6.222222222222222321e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.313344760028996383e+01
6.222222222222222321e+00,2.666666666666666519e+00,0.000000000000000000e+00,1.387888691616558390e+01
6.222222222222222321e+00,3.333333333333333037e+00,0.000000000000000000e+00,1.387888691616558390e+01
6.222222222222222321e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.313344760028996383e+01
6.222222222222222321e+00,4.666666666666666075e+00,0.000000000000000000e+00,1.182596806876059148e+01
6.222222222222222321e+00,5.333333333333333037e+00,0.000000000000000000e+00,1.022841864500467501e+01
6.222222222222222321e+00,6.000000000000000000e+00,0.000000000000000000e+00,8.590032302655437491e+00
7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.352421543799167125e+00
7.000000000000000000e+00,6.666666666666666297e-01,0.000000000000000000e+00,7.323585030514667693e+00
7.000000000000000000e+00,1.333333333333333259e+00,0.000000000000000000e+00,8.224128812516060094e+00
7.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,8.930730583268475797e+00
7.000000000000000000e+00,2.666666666666666519e+00,0.000000000000000000e+00,9.322320280546460225e+00
7.000000000000000000e+00,3.333333333333333037e+00,0.000000000000000000e+00,9.322320280546460225e+00
7.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,8.930730583268475797e+00
7.000000000000000000e+00,4.666666666666666075e+00,0.000000000000000000e+00,8.224128812516060094e+00
7.000000000000000000e+00,5.333333333333333037e+00,0.000000000000000000e+00,7.323585030514667693e+00
7.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,6.352421543799167125e+00
