x,y,z,illuminance
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.406250000000000000e+01
6.666666666666666963e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.122349277002633983e+00
1.333333333333333393e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.356828930026468205e+00
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.777614109621230454e-01
0.000000000000000000e+00,1.166666666666666741e+00,0.000000000000000000e+00,1.306724216363774538e+01
6.666666666666666963e+00,1.166666666666666741e+00,0.000000000000000000e+00,5.014252367548280631e+00
1.333333333333333393e+01,1.166666666666666741e+00,0.000000000000000000e+00,1.344548201856455183e+00
2.000000000000000000e+01,1.166666666666666741e+00,0.000000000000000000e+00,4.755480935928796948e-01
0.000000000000000000e+00,2.333333333333333481e+00,0.000000000000000000e+00,1.144257302272130872e+01
6.666666666666666963e+00,2.333333333333333481e+00,0.000000000000000000e+00,4.711612809874464958e+00
1.333333333333333393e+01,2.333333333333333481e+00,0.000000000000000000e+00,1.308780660020775422e+00
2.000000000000000000e+01,2.333333333333333481e+00,0.000000000000000000e+00,4.690084925609044331e-01
0.000000000000000000e+00,3.500000000000000000e+00,0.000000000000000000e+00,9.551832865024563191e+00
6.666666666666666963e+00,3.500000000000000000e+00,0.000000000000000000e+00,4.269876854876549999e+00
1.333333333333333393e+01,3.500000000000000000e+00,0.000000000000000000e+00,1.252538834186190053e+00
2.000000000000000000e+01,3.500000000000000000e+00,0.000000000000000000e+00,4.584332757191221241e-01
