x,y,z,illuminance
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.761552376590399405e+01
0.000000000000000000e+00,8.888888888888888395e-01,0.000000000000000000e+00,2.587417149060549804e+01
0.000000000000000000e+00,1.777777777777777679e+00,0.000000000000000000e+00,3.701725209553394080e+01
0.000000000000000000e+00,2.666666666666666519e+00,0.000000000000000000e+00,4.947779053297699647e+01
0.000000000000000000e+00,3.555555555555555358e+00,0.000000000000000000e+00,5.844596645643295574e+01
0.000000000000000000e+00,4.444444444444444642e+00,0.000000000000000000e+00,5.844596645643295574e+01
0.000000000000000000e+00,5.333333333333333037e+00,0.000000000000000000e+00,4.947779053297701068e+01
0.000000000000000000e+00,6.222222222222221433e+00,0.000000000000000000e+00,3.701725209553394791e+01
0.000000000000000000e+00,7.111111111111110716e+00,0.000000000000000000e+00,2.587417149060551225e+01
0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,1.761552376590399405e+01
6.666666666666666297e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.161489386171151494e+01
6.666666666666666297e-01,8.888888888888888395e-01,0.000000000000000000e+00,3.350098682648217618e+01
6.666666666666666297e-01,1.777777777777777679e+00,0.000000000000000000e+00,5.126241619092103008e+01
6.666666666666666297e-01,2.666666666666666519e+00,0.000000000000000000e+00,7.340804374890970507e+01
6.666666666666666297e-01,3.555555555555555358e+00,0.000000000000000000e+00,9.092042132163535939e+01
6.666666666666666297e-01,4.444444444444444642e+00,0.000000000000000000e+00,9.092042132163535939e+01
6.666666666666666297e-01,5.333333333333333037e+00,0.000000000000000000e+00,7.340804374890973349e+01
6.666666666666666297e-01,6.222222222222221433e+00,0.000000000000000000e+00,5.126241619092105140e+01
6.666666666666666297e-01,7.111111111111110716e+00,0.000000000000000000e+00,3.350098682648217618e+01
6.666666666666666297e-01,8.000000000000000000e+00,0.000000000000000000e+00,2.161489386171151494e+01
1.333333333333333259e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.560896768331241447e+01
1.333333333333333259e+00,8.888888888888888395e-01,0.000000000000000000e+00,4.187459128182140233e+01
1.333333333333333259e+00,1.777777777777777679e+00,0.000000000000000000e+00,6.868632555464090217e+01
1.333333333333333259e+00,2.666666666666666519e+00,0.000000000000000000e+00,1.063729444662619272e+02
1.333333333333333259e+00,3.555555555555555358e+00,0.000000000000000000e+00,1.398783161035719047e+02
1.333333333333333259e+00,4.444444444444444642e+00,0.000000000000000000e+00,1.398783161035719047e+02
1.333333333333333259e+00,5.333333333333333037e+00,0.000000000000000000e+00,1.063729444662619557e+02
1.333333333333333259e+00,6.222222222222221433e+00,0.000000000000000000e+00,6.868632555464094480e+01
1.333333333333333259e+00,7.111111111111110716e+00,0.000000000000000000e+00,4.187459128182140944e+01
1.333333333333333259e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.560896768331241447e+01
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.896637630983865819e+01
2.000000000000000000e+00,8.888888888888888395e-01,0.000000000000000000e+00,4.946831713938009756e+01
2.000000000000000000e+00,1.777777777777777679e+00,0.000000000000000000e+00,8.619865716116379417e+01
2.000000000000000000e+00,2.666666666666666519e+00,0.000000000000000000e+00,1.440369358256971850e+02
2.000000000000000000e+00,3.555555555555555358e+00,0.000000000000000000e+00,2.032073662846160005e+02
2.000000000000000000e+00,4.444444444444444642e+00,0.000000000000000000e+00,2.032073662846160005e+02
2.000000000000000000e+00,5.333333333333333037e+00,0.000000000000000000e+00,1.440369358256972419e+02
2.000000000000000000e+00,6.222222222222221433e+00,0.000000000000000000e+00,8.619865716116385101e+01
2.000000000000000000e+00,7.111111111111110716e+00,0.000000000000000000e+00,4.946831713938009756e+01
2.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.896637630983865819e+01
2.666666666666666519e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.091447816536541637e+01
2.666666666666666519e+00,8.888888888888888395e-01,0.000000000000000000e+00,5.411518616291976969e+01
2.666666666666666519e+00,1.777777777777777679e+00,0.000000000000000000e+00,9.776974506054409630e+01
2.666666666666666519e+00,2.666666666666666519e+00,0.000000000000000000e+00,1.718279671538237494e+02
2.666666666666666519e+00,3.555555555555555358e+00,0.000000000000000000e+00,2.591589510610381240e+02
2.666666666666666519e+00,4.444444444444444642e+00,0.000000000000000000e+00,2.591589510610381240e+02
2.666666666666666519e+00,5.333333333333333037e+00,0.000000000000000000e+00,1.718279671538238063e+02
2.666666666666666519e+00,6.222222222222221433e+00,0.000000000000000000e+00,9.776974506054418157e+01
2.666666666666666519e+00,7.111111111111110716e+00,0.000000000000000000e+00,5.411518616291981232e+01
2.666666666666666519e+00,8.000000000000000000e+00,0.000000000000000000e+00,3.091447816536541637e+01
3.333333333333333037e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.091447816536541637e+01
3.333333333333333037e+00,8.888888888888888395e-01,0.000000000000000000e+00,5.411518616291976969e+01
3.333333333333333037e+00,1.777777777777777679e+00,0.000000000000000000e+00,9.776974506054412473e+01
3.333333333333333037e+00,2.666666666666666519e+00,0.000000000000000000e+00,1.718279671538237494e+02
3.333333333333333037e+00,3.555555555555555358e+00,0.000000000000000000e+00,2.591589510610381808e+02
3.333333333333333037e+00,4.444444444444444642e+00,0.000000000000000000e+00,2.591589510610381808e+02
3.333333333333333037e+00,5.333333333333333037e+00,0.000000000000000000e+00,1.718279671538238063e+02
3.333333333333333037e+00,6.222222222222221433e+00,0.000000000000000000e+00,9.776974506054418157e+01
3.333333333333333037e+00,7.111111111111110716e+00,0.000000000000000000e+00,5.411518616291981232e+01
3.333333333333333037e+00,8.000000000000000000e+00,0.000000000000000000e+00,3.091447816536541637e+01
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.896637630983865819e+01
4.000000000000000000e+00,8.888888888888888395e-01,0.000000000000000000e+00,4.946831713938009756e+01
4.000000000000000000e+00,1.777777777777777679e+00,0.000000000000000000e+00,8.619865716116379417e+01
