x,y,z,illuminance
5.000000000000000000e-01,5.000000000000000000e-01,8.000000000000000444e-01,2.031088457053935414e+01
1.500000000000000000e+00,5.000000000000000000e-01,8.000000000000000444e-01,2.878393148228204979e+01
2.500000000000000000e+00,5.000000000000000000e-01,8.000000000000000444e-01,3.531541349589683421e+01
3.500000000000000000e+00,5.000000000000000000e-01,8.000000000000000444e-01,3.531541349589683421e+01
4.500000000000000000e+00,5.000000000000000000e-01,8.000000000000000444e-01,2.878393148228204979e+01
5.500000000000000000e+00,5.000000000000000000e-01,8.000000000000000444e-01,2.031088457053935414e+01
5.000000000000000000e-01,1.500000000000000000e+00,8.000000000000000444e-01,3.561495877761849016e+01
1.500000000000000000e+00,1.500000000000000000e+00,8.000000000000000444e-01,5.834398213867364547e+01
2.500000000000000000e+00,1.500000000000000000e+00,8.000000000000000444e-01,7.959783952012776354e+01
3.500000000000000000e+00,1.500000000000000000e+00,8.000000000000000444e-01,7.959783952012776354e+01
4.500000000000000000e+00,1.500000000000000000e+00,8.000000000000000444e-01,5.834398213867364547e+01
5.500000000000000000e+00,1.500000000000000000e+00,8.000000000000000444e-01,3.561495877761849016e+01
5.000000000000000000e-01,2.500000000000000000e+00,8.000000000000000444e-01,5.896553375669070363e+01
1.500000000000000000e+00,2.500000000000000000e+00,8.000000000000000444e-01,1.189286744694759932e+02
2.500000000000000000e+00,2.500000000000000000e+00,8.000000000000000444e-01,1.953526555788301948e+02
3.500000000000000000e+00,2.500000000000000000e+00,8.000000000000000444e-01,1.953526555788301948e+02
4.500000000000000000e+00,2.500000000000000000e+00,8.000000000000000444e-01,1.189286744694759790e+02
5.500000000000000000e+00,2.500000000000000000e+00,8.000000000000000444e-01,5.896553375669070363e+01
5.000000000000000000e-01,3.500000000000000000e+00,8.000000000000000444e-01,8.145970840650969080e+01
1.500000000000000000e+00,3.500000000000000000e+00,8.000000000000000444e-01,1.998769085395215654e+02
2.500000000000000000e+00,3.500000000000000000e+00,8.000000000000000444e-01,4.169518199898766397e+02
3.500000000000000000e+00,3.500000000000000000e+00,8.000000000000000444e-01,4.169518199898766397e+02
4.500000000000000000e+00,3.500000000000000000e+00,8.000000000000000444e-01,1.998769085395215939e+02
5.500000000000000000e+00,3.500000000000000000e+00,8.000000000000000444e-01,8.145970840650969080e+01
5.000000000000000000e-01,4.500000000000000000e+00,8.000000000000000444e-01,8.145970840650969080e+01
1.500000000000000000e+00,4.500000000000000000e+00,8.000000000000000444e-01,1.998769085395215939e+02
2.500000000000000000e+00,4.500000000000000000e+00,8.000000000000000444e-01,4.169518199898765829e+02
3.500000000000000000e+00,4.500000000000000000e+00,8.000000000000000444e-01,4.169518199898766397e+02
4.500000000000000000e+00,4.500000000000000000e+00,8.000000000000000444e-01,1.998769085395215939e+02
5.500000000000000000e+00,4.500000000000000000e+00,8.000000000000000444e-01,8.145970840650969080e+01
5.000000000000000000e-01,5.500000000000000000e+00,8.000000000000000444e-01,5.896553375669070363e+01
1.500000000000000000e+00,5.500000000000000000e+00,8.000000000000000444e-01,1.189286744694759790e+02
2.500000000000000000e+00,5.500000000000000000e+00,8.000000000000000444e-01,1.953526555788301948e+02
3.500000000000000000e+00,5.500000000000000000e+00,8.000000000000000444e-01,1.953526555788301948e+02
4.500000000000000000e+00,5.500000000000000000e+00,8.000000000000000444e-01,1.189286744694759932e+02
5.500000000000000000e+00,5.500000000000000000e+00,8.000000000000000444e-01,5.896553375669070363e+01
5.000000000000000000e-01,6.500000000000000000e+00,8.000000000000000444e-01,3.561495877761849016e+01
1.500000000000000000e+00,6.500000000000000000e+00,8.000000000000000444e-01,5.834398213867364547e+01
2.500000000000000000e+00,6.500000000000000000e+00,8.000000000000000444e-01,7.959783952012776354e+01
3.500000000000000000e+00,6.500000000000000000e+00,8.000000000000000444e-01,7.959783952012776354e+01
4.500000000000000000e+00,6.500000000000000000e+00,8.000000000000000444e-01,5.834398213867364547e+01
5.500000000000000000e+00,6.500000000000000000e+00,8.000000000000000444e-01,3.561495877761849016e+01
5.000000000000000000e-01,7.500000000000000000e+00,8.000000000000000444e-01,2.031088457053935414e+01
1.500000000000000000e+00,7.500000000000000000e+00,8.000000000000000444e-01,2.878393148228204979e+01
2.500000000000000000e+00,7.500000000000000000e+00,8.000000000000000444e-01,3.531541349589683421e+01
3.500000000000000000e+00,7.500000000000000000e+00,8.000000000000000444e-01,3.531541349589683421e+01
4.500000000000000000e+00,7.500000000000000000e+00,8.000000000000000444e-01,2.878393148228204979e+01
5.500000000000000000e+00,7.500000000000000000e+00,8.000000000000000444e-01,2.031088457053935414e+01
