x,y,z,illuminance
5.000000000000000000e-01,5.000000000000000000e-01,8.000000000000000444e-01,2.372147344210873854e+01
1.500000000000000000e+00,5.000000000000000000e-01,8.000000000000000444e-01,3.324468665807535217e+01
2.500000000000000000e+00,5.000000000000000000e-01,8.000000000000000444e-01,4.030184739686514916e+01
3.500000000000000000e+00,5.000000000000000000e-01,8.000000000000000444e-01,4.030184739686514916e+01
4.500000000000000000e+00,5.000000000000000000e-01,8.000000000000000444e-01,3.324468665807535217e+01
5.500000000000000000e+00,5.000000000000000000e-01,8.000000000000000444e-01,2.372147344210873854e+01
5.000000000000000000e-01,1.500000000000000000e+00,8.000000000000000444e-01,4.234236329659529474e+01
1.500000000000000000e+00,1.500000000000000000e+00,8.000000000000000444e-01,6.736946116130685880e+01
2.500000000000000000e+00,1.500000000000000000e+00,8.000000000000000444e-01,8.854253100770242213e+01
3.500000000000000000e+00,1.500000000000000000e+00,8.000000000000000444e-01,8.854253100770242213e+01
4.500000000000000000e+00,1.500000000000000000e+00,8.000000000000000444e-01,6.736946116130685880e+01
5.500000000000000000e+00,1.500000000000000000e+00,8.000000000000000444e-01,4.234236329659529474e+01
5.000000000000000000e-01,2.500000000000000000e+00,8.000000000000000444e-01,7.171931806867044656e+01
1.500000000000000000e+00,2.500000000000000000e+00,8.000000000000000444e-01,1.380663067339913255e+02
2.500000000000000000e+00,2.500000000000000000e+00,8.000000000000000444e-01,2.093329424713005267e+02
3.500000000000000000e+00,2.500000000000000000e+00,8.000000000000000444e-01,2.093329424713005267e+02
4.500000000000000000e+00,2.500000000000000000e+00,8.000000000000000444e-01,1.380663067339913255e+02
5.500000000000000000e+00,2.500000000000000000e+00,8.000000000000000444e-01,7.171931806867044656e+01
5.000000000000000000e-01,3.500000000000000000e+00,8.000000000000000444e-01,1.014157650875024501e+02
1.500000000000000000e+00,3.500000000000000000e+00,8.000000000000000444e-01,2.390298320587596379e+02
2.500000000000000000e+00,3.500000000000000000e+00,8.000000000000000444e-01,4.448774148689407752e+02
3.500000000000000000e+00,3.500000000000000000e+00,8.000000000000000444e-01,4.448774148689407752e+02
4.500000000000000000e+00,3.500000000000000000e+00,8.000000000000000444e-01,2.390298320587596379e+02
5.500000000000000000e+00,3.500000000000000000e+00,8.000000000000000444e-01,1.014157650875024501e+02
5.000000000000000000e-01,4.500000000000000000e+00,8.000000000000000444e-01,1.014157650875024501e+02
1.500000000000000000e+00,4.500000000000000000e+00,8.000000000000000444e-01,2.390298320587596379e+02
2.500000000000000000e+00,4.500000000000000000e+00,8.000000000000000444e-01,4.448774148689407752e+02
3.500000000000000000e+00,4.500000000000000000e+00,8.000000000000000444e-01,4.448774148689407752e+02
4.500000000000000000e+00,4.500000000000000000e+00,8.000000000000000444e-01,2.390298320587596379e+02
5.500000000000000000e+00,4.500000000000000000e+00,8.000000000000000444e-01,1.014157650875024501e+02
5.000000000000000000e-01,5.500000000000000000e+00,8.000000000000000444e-01,7.171931806867044656e+01
1.500000000000000000e+00,5.500000000000000000e+00,8.000000000000000444e-01,1.380663067339913255e+02
2.500000000000000000e+00,5.500000000000000000e+00,8.000000000000000444e-01,2.093329424713005267e+02
3.500000000000000000e+00,5.500000000000000000e+00,8.000000000000000444e-01,2.093329424713005267e+02
4.500000000000000000e+00,5.500000000000000000e+00,8.000000000000000444e-01,1.380663067339913255e+02
5.500000000000000000e+00,5.500000000000000000e+00,8.000000000000000444e-01,7.171931806867044656e+01
5.000000000000000000e-01,6.500000000000000000e+00,8.000000000000000444e-01,4.234236329659529474e+01
1.500000000000000000e+00,6.500000000000000000e+00,8.000000000000000444e-01,6.736946116130685880e+01
2.500000000000000000e+00,6.500000000000000000e+00,8.000000000000000444e-01,8.854253100770242213e+01
3.500000000000000000e+00,6.500000000000000000e+00,8.000000000000000444e-01,8.854253100770242213e+01
4.500000000000000000e+00,6.500000000000000000e+00,8.000000000000000444e-01,6.736946116130685880e+01
5.500000000000000000e+00,6.500000000000000000e+00,8.000000000000000444e-01,4.234236329659529474e+01
5.000000000000000000e-01,7.500000000000000000e+00,8.000000000000000444e-01,2.372147344210873854e+01
1.500000000000000000e+00,7.500000000000000000e+00,8.000000000000000444e-01,3.324468665807535217e+01
2.500000000000000000e+00,7.500000000000000000e+00,8.000000000000000444e-01,4.030184739686514916e+01
3.500000000000000000e+00,7.500000000000000000e+00,8.000000000000000444e-01,4.030184739686514916e+01
4.500000000000000000e+00,7.500000000000000000e+00,8.000000000000000444e-01,3.324468665807535217e+01
5.500000000000000000e+00,7.500000000000000000e+00,8.000000000000000444e-01,2.372147344210873854e+01
