x,y,z,illuminance
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.061205428991516442e+01
0.000000000000000000e+00,8.888888888888888395e-01,0.000000000000000000e+00,3.035274699342528493e+01
0.000000000000000000e+00,1.777777777777777679e+00,0.000000000000000000e+00,4.351943925553879922e+01
0.000000000000000000e+00,2.666666666666666519e+00,0.000000000000000000e+00,5.852670501707588357e+01
0.000000000000000000e+00,3.555555555555555358e+00,0.000000000000000000e+00,6.955403733088783724e+01
0.000000000000000000e+00,4.444444444444444642e+00,0.000000000000000000e+00,6.955403733088783724e+01
0.000000000000000000e+00,5.333333333333333037e+00,0.000000000000000000e+00,5.852670501707589779e+01
0.000000000000000000e+00,6.222222222222221433e+00,0.000000000000000000e+00,4.351943925553879922e+01
0.000000000000000000e+00,7.111111111111110716e+00,0.000000000000000000e+00,3.035274699342529559e+01
0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.061205428991516442e+01
6.666666666666666297e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.513809761894857076e+01
6.666666666666666297e-01,8.888888888888888395e-01,0.000000000000000000e+00,3.879723484104209064e+01
6.666666666666666297e-01,1.777777777777777679e+00,0.000000000000000000e+00,5.932855998376232520e+01
6.666666666666666297e-01,2.666666666666666519e+00,0.000000000000000000e+00,8.539772264447192640e+01
6.666666666666666297e-01,3.555555555555555358e+00,0.000000000000000000e+00,1.065318584168917511e+02
6.666666666666666297e-01,4.444444444444444642e+00,0.000000000000000000e+00,1.065318584168917511e+02
6.666666666666666297e-01,5.333333333333333037e+00,0.000000000000000000e+00,8.539772264447196903e+01
6.666666666666666297e-01,6.222222222222221433e+00,0.000000000000000000e+00,5.932855998376234652e+01
6.666666666666666297e-01,7.111111111111110716e+00,0.000000000000000000e+00,3.879723484104211195e+01
6.666666666666666297e-01,8.000000000000000000e+00,0.000000000000000000e+00,2.513809761894857076e+01
1.333333333333333259e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.951113988383195164e+01
1.333333333333333259e+00,8.888888888888888395e-01,0.000000000000000000e+00,4.779159983576870019e+01
1.333333333333333259e+00,1.777777777777777679e+00,0.000000000000000000e+00,7.786896634583521859e+01
